418 756
895 500
218 705
685 702
213 586
132 402
329 540
876 151
22 697
269 798
724 944
685 306
107 854
433 510
795 827
888 896
177 627
908 84
479 219
173 150
613 96
331 923
811 405
463 780
476 429
775 458
879 958
267 431
605 439
907 8
743 439
834 873
754 95
749 633
237 827
96 676
257 586
427 708
764 995
9 5
253 423
347 953
479 792
154 276
707 459
198 129
687 76
162 867
999 587
304 763
46 256
850 668
648 537
765 631
981 32
265 81
35 478
459 163
972 484
917 840
710 969
723 241
407 586
485 460
33 835
242 777
108 620
207 250
690 547
641 973
42 25
209 489
113 399
169 393
796 768
161 20
11 59
665 667
160 372
285 617
14 548
591 898
19 449
366 124
152 961
507 514
486 333
210 49
278 896
378 832
188 632
66 626
344 986
826 130
381 854
307 964
114 539
153 159
452 579
111 409
464 774
500 700
656 882
925 196
7 762
891 779
186 578
909 82
180 25
513 553
587 772
729 232
781 997
55 602
906 967
281 39
227 351
220 618
583 695
524 142
428 352
363 414
889 423
656 130
562 497
298 420
940 599
868 212
54 195
907 349
727 149
208 662
133 25
983 192
954 485
197 894
373 579
125 447
123 543
316 93
4 442
51 797
371 912
7 560
889 167
455 697
664 210
901 97
864 296
561 929
44 956
382 922
634 122
971 888
380 553
645 595
460 679
649 31
836 894
515 635
289 530
775 785
95 663
379 269
274 767
136 825
12 660
93 962
411 462
125 848
170 308
288 900
703 228
748 124
339 596
468 392
910 481
852 363
84 282
437 511
261 342
252 204
375 578
857 64
843 13
637 894
173 788
496 938
190 572
619 597
472 783
72 667
817 209
35 786
41 784
295 618
129 805
310 469
674 148
885 879
403 312
181 503
89 815
858 918
270 582
570 860
435 245
558 335
493 262
13 742
58 325
290 966
770 624
69 867
79 635
326 215
483 217
758 332
27 742
874 721
454 510
965 325
357 714
808 398
288 300
327 354
441 919
383 194
340 178
122 72
288 593
266 678
21 806
119 140
225 140
605 774
26 985
837 135
89 751
681 913
845 862
877 577
374 79
85 501
532 29
483 994
155 538
6 335
547 391
943 654
444 35
477 419
451 264
329 12
520 14
866 86
118 417
869 792
526 289
932 989
921 260
